Subject,Method,RMSE
334408,both,0.5081712075181675
334408,s1_2,0.4685873383035729
334408,s1_3,0.5287805308429813
334408,lut,0.40278816696418945
335293,both,0.42545465936603194
335293,s1_2,0.38619326000075166
335293,s1_3,0.45528788601945885
335293,lut,0.3158418000438558
335407,both,0.32583985932894705
335407,s1_2,0.3051369747761625
335407,s1_3,0.364827776564098
335407,lut,0.2622405983779498
335508,both,0.4111334437093411
335508,s1_2,0.3468930248584865
335508,s1_3,0.4450325901970329
335508,lut,0.26329047642787307
335683,both,0.42740391642160014
335683,s1_2,0.3518797507800378
335683,s1_3,0.4654877707116118
335683,lut,0.26333590114228894
335749,both,0.43115853702950524
335749,s1_2,0.35473127697855805
335749,s1_3,0.4670744709880224
335749,lut,0.26630841696895935
335852,both,0.4737154704946405
335852,s1_2,0.3890326062845912
335852,s1_3,0.5132317044254764
335852,lut,0.3027375025827494
335867,both,0.3919101769412759
335867,s1_2,0.32119257996687317
335867,s1_3,0.4200148575893586
335867,lut,0.24928768368280174
335740,both,0.3737810376640078
335740,s1_2,0.28761003436421984
335740,s1_3,0.40466732315372683
335740,lut,0.21890605953479145
336144,both,0.3548209264109658
336144,s1_2,0.3051440456682138
336144,s1_3,0.39624476819954607
336144,lut,0.23351022417706838
336126,both,0.3518342347568395
336126,s1_2,0.29264684237327554
336126,s1_3,0.37321651705826747
336126,lut,0.23349800476114463
336418,both,0.3785545109728953
336418,s1_2,0.3134508905973915
336418,s1_3,0.40839252511271196
336418,lut,0.22905575060313285
336672,both,0.3411491017968088
336672,s1_2,0.2924415240186447
336672,s1_3,0.38463321391234007
336672,lut,0.24004255756109844
336885,both,0.38142682806256184
336885,s1_2,0.30146471851791473
336885,s1_3,0.4162381153848874
336885,lut,0.23345826515142454
336839,both,0.35717686125147874
336839,s1_2,0.2955745139868782
336839,s1_3,0.40004787083000065
336839,lut,0.23739053647952085
336945,both,0.3437286679648574
336945,s1_2,0.27928716572781576
336945,s1_3,0.38436029783033004
336945,lut,0.21982049998928344
337204,both,0.3523844283350358
337204,s1_2,0.3115764370954325
337204,s1_3,0.3961462359737973
337204,lut,0.2581894465330754
338090,both,0.34299356881641835
338090,s1_2,0.29686375275224103
338090,s1_3,0.37394804473056603
338090,lut,0.23801099171061718
336117,both,0.4097779586855213
336117,s1_2,0.32289144990017943
336117,s1_3,0.43899005006074865
336117,lut,0.23705768156670248
334264,both,0.42973634458445
334264,s1_2,0.38575143853580324
334264,s1_3,0.47274366295326625
334264,lut,0.3100526792628092
334317,both,0.5773819208114146
334317,s1_2,0.49122535564475334
334317,s1_3,0.6148402368594633
334317,lut,0.4313648746557806
334424,both,0.407039684457864
334424,s1_2,0.3495924795131137
334424,s1_3,0.4384498734310139
334424,lut,0.2607056454533194
337071,both,0.34445311196622996
337071,s1_2,0.293345201549964
337071,s1_3,0.3767920570258112
337071,lut,0.23632136585200963
335450,both,0.4176646450413717
335450,s1_2,0.362735373866064
335450,s1_3,0.45469298809136455
335450,lut,0.266227236803697
335586,both,0.39405986287120837
335586,s1_2,0.31373363034074925
335586,s1_3,0.4119006161031462
335586,lut,0.234610829739364
335652,both,0.48807249875105885
335652,s1_2,0.40119699872900405
335652,s1_3,0.5214800411913858
335652,lut,0.29948672135508053
335663,both,0.4262472732506856
335663,s1_2,0.3462017962791662
335663,s1_3,0.4575615726336934
335663,lut,0.26089060576007983
335692,both,0.5257737115017159
335692,s1_2,0.4326969004016134
335692,s1_3,0.5630130386513439
335692,lut,0.32479099039877257
335561,both,0.5526077032041791
335561,s1_2,0.44745312065490045
335561,s1_3,0.583475371581393
335561,lut,0.3506863327866645
335574,both,0.47137933040090796
335574,s1_2,0.39496264336367815
335574,s1_3,0.5206172902211801
335574,lut,0.3188772535907315
336195,both,0.4700036347619284
336195,s1_2,0.3747672482229674
336195,s1_3,0.511272073417538
336195,lut,0.273865087722947
336954,both,0.47089771624922144
336954,s1_2,0.3732499591120459
336954,s1_3,0.5053628015641289
336954,lut,0.2723186735096287
337021,both,0.2891118700039261
337021,s1_2,0.24122936751973836
337021,s1_3,0.3219441139131834
337021,lut,0.19885304682796534
