,Label,Label Name,Mean Number of Voxels,Number of Subjects
0,0,background,218016.81818181818,33
1,36,Right-Caudate,132.21428571428572,14
2,37,Left-Caudate,3.0,1
3,44,Right-Cerebral-White-Matter,908.6774193548387,31
4,45,Left-Cerebral-White-Matter,864.6774193548387,31
5,51,Right-Lateral-Ventricle,24935.969696969696,33
6,52,Left-Lateral-Ventricle,25122.484848484848,33
7,57,Right-Putamen,3208.6666666666665,33
8,59,Right-Thalamus-Proper,3346.212121212121,33
9,60,Left-Thalamus-Proper,146.9,20
10,100,Right-ACgG--anterior-cingulate-gyrus,179.26315789473685,19
11,101,Left-ACgG--anterior-cingulate-gyrus,394.4230769230769,26
12,102,Right-AIns--anterior-insula,418.16,25
13,106,Right-AnG---angular-gyrus,891.3030303030303,33
14,107,Left-AnG---angular-gyrus,936.6363636363636,33
15,112,Right-CO----central-operculum,240.8,25
16,113,Left-CO----central-operculum,227.0,24
17,114,Right-Cun---cuneus,111.77777777777777,9
18,115,Left-Cun---cuneus,129.42857142857142,7
19,118,Right-FO----frontal-operculum,2423.151515151515,33
20,120,Right-FRP---frontal-pole,2241.181818181818,33
21,121,Left-FRP---frontal-pole,27.5,4
22,136,Right-LOrG--lateral-orbital-gyrus,77.33333333333333,3
23,138,Right-MCgG--middle-cingulate-gyrus,840.4333333333333,30
24,139,Left-MCgG--middle-cingulate-gyrus,824.7333333333333,30
25,142,Right-MFG---middle-frontal-gyrus,939.7878787878788,33
26,143,Left-MFG---middle-frontal-gyrus,755.53125,32
27,144,Right-MOG---middle-occipital-gyrus,299.96,25
28,145,Left-MOG---middle-occipital-gyrus,314.5416666666667,24
29,152,Right-MSFG--superior-frontal-gyrus,662.6060606060606,33
30,153,Left-MSFG--superior-frontal-gyrus,615.3125,32
31,154,Right-MTG---middle-temporal-gyrus,35.4,5
32,156,Right-OCP---occipital-pole,6.0,1
33,157,Left-OCP---occipital-pole,104.66666666666667,6
34,162,Right-OpIFG-opercular-part-of-the-IFG,139.625,8
35,163,Left-OpIFG-opercular-part-of-the-IFG,330.56666666666666,30
36,166,Right-PCgG--posterior-cingulate-gyrus,307.8709677419355,31
37,167,Left-PCgG--posterior-cingulate-gyrus,101.88888888888889,9
38,168,Right-PCu---precuneus,117.0,10
39,169,Left-PCu---precuneus,2159.6666666666665,33
40,172,Right-PIns--posterior-insula,2234.969696969697,33
41,173,Left-PIns--posterior-insula,1025.8484848484848,33
42,174,Right-PO----parietal-operculum,709.21875,32
43,175,Left-PO----parietal-operculum,2.0,1
44,176,Right-PoG---postcentral-gyrus,12.0,2
45,177,Left-PoG---postcentral-gyrus,3.5,2
46,182,Right-PrG---precentral-gyrus,835.4848484848485,33
47,183,Left-PrG---precentral-gyrus,746.9090909090909,33
48,184,Right-PT----planum-temporale,50.0,4
49,185,Left-PT----planum-temporale,141.33333333333334,3
50,190,Right-SFG---superior-frontal-gyrus,107.0,11
51,191,Left-SFG---superior-frontal-gyrus,92.38461538461539,13
52,194,Right-SMG---supramarginal-gyrus,987.7575757575758,33
53,195,Left-SMG---supramarginal-gyrus,1000.3125,32
54,196,Right-SOG---superior-occipital-gyrus,47.666666666666664,9
55,197,Left-SOG---superior-occipital-gyrus,75.85714285714286,7
56,199,Left-SPL---superior-parietal-lobule,781.5757575757576,33
57,201,Left-STG---superior-temporal-gyrus,870.4848484848485,33
58,204,Right-TrIFG-triangular-part-of-the-IFG,1667.2424242424242,33
59,205,Left-TrIFG-triangular-part-of-the-IFG,1706.2727272727273,33
60,207,Left-TTG---transverse-temporal-gyrus,125.57692307692308,26
61,208,TICV,118.375,24
62,198,Right-SPL---superior-parietal-lobule,824.0,33
63,32,Left-Amygdala,884.969696969697,33
64,108,Right-Calc--calcarine-cortex,839.3636363636364,33
65,200,Right-STG---superior-temporal-gyrus,919.4242424242424,33
66,58,Left-Putamen,936.1515151515151,33
67,103,Left-AIns--anterior-insula,921.5151515151515,33
68,119,Left-FO----frontal-operculum,222.58064516129033,31
69,155,Left-MTG---middle-temporal-gyrus,241.7826086956522,23
70,4,3rd-Ventricle,553.8484848484849,33
71,104,Right-AOrG--anterior-orbital-gyrus,510.45454545454544,33
72,105,Left-AOrG--anterior-orbital-gyrus,235.0,1
73,109,Left-Calc--calcarine-cortex,16.0,1
74,128,Right-IOG---inferior-occipital-gyrus,1526.2727272727273,33
75,137,Left-LOrG--lateral-orbital-gyrus,1957.6060606060605,33
76,140,Right-MFC---medial-frontal-cortex,879.1818181818181,33
77,141,Left-MFC---medial-frontal-cortex,626.3939393939394,33
78,164,Right-OrIFG-orbital-part-of-the-IFG,425.03225806451616,31
79,165,Left-OrIFG-orbital-part-of-the-IFG,484.03125,32
80,206,Right-TTG---transverse-temporal-gyrus,227.14285714285714,14
81,147,Left-MOrG--medial-orbital-gyrus,190.88888888888889,9
82,150,Right-MPrG--precentral-gyrus,813.3666666666667,30
83,151,Left-MPrG--precentral-gyrus,886.3125,32
84,192,Right-SMC---supplementary-motor-cortex,89.5,14
85,193,Left-SMC---supplementary-motor-cortex,76.0,13
86,129,Left-IOG---inferior-occipital-gyrus,8558.757575757576,33
